,const,Bonus,BonusPaid,Buyout,head_coaches-seasons_coached,head_coaches-wl_pct,head_coaches-tournament_wl_pct,AvgAttendance,StadiumCapacity,PctCapacity,MULTIYR_ELIG_RATE,MULTIYR_RET_RATE,gsr,fgr,Conference_Atlantic_Coast_Conference,Conference_Big_12_Conference,Conference_Big_Ten_Conference,Conference_Conference_USA,Conference_Independent,Conference_Mid-American_Conference,Conference_Mountain_West_Conference,Conference_Pac-12_Conference,Conference_Southeastern_Conference,Conference_Sun_Belt_Conference
1,1.0,295000.0,145000.0,2160417.0,8,0.636,1.0,21953.0,30000.0,73.18,0.9553903345999999,0.9530075187999999,77.0,65.0,0,0,0,0,0,0,0,0,0,1
10,1.0,725093.5116279069,102001.06976744186,6734453.263565891,5,0.594,1.0,52476.0,63470.0,82.68,0.9270186334999999,0.9572368420999999,70.0,40.0,0,0,0,0,1,0,0,0,0,0
11,1.0,381000.0,102001.06976744186,1020833.0,14,0.789,0.944,18380.0,29013.0,63.35,0.9355828221,0.9551083590999999,84.0,75.0,0,0,0,0,0,1,0,0,0,0
26,1.0,1475000.0,102001.06976744186,21958333.0,11,0.48,0.0,68288.0,79560.0,85.83,0.9400630915000001,0.9664,51.0,35.0,1,0,0,0,0,0,0,0,0,0
27,1.0,1150000.0,1350000.0,27917500.0,5,0.788,0.5,92746.0,92746.0,100.0,0.9571428570999999,0.9441707718000001,71.0,48.0,0,0,0,0,0,0,0,0,1,0
30,1.0,1330000.0,225000.0,4000000.0,22,0.656,0.63,43087.0,55000.0,78.34,0.9762658228,0.9710144928,88.0,74.0,1,0,0,0,0,0,0,0,0,0
33,1.0,750000.0,650000.0,19291667.0,10,0.619,0.667,56010.0,61500.0,91.07,0.9409090909000001,0.9601226994,86.0,66.0,0,1,0,0,0,0,0,0,0,0
35,1.0,406000.0,102001.06976744186,1150000.0,3,0.414,0.0,13118.0,25319.0,51.81,0.9138461538,0.9549689441,79.0,53.0,0,0,0,0,0,1,0,0,0,0
39,1.0,145000.0,55000.0,1951708.0,11,0.612,1.0,24063.0,38019.0,63.29,0.9607535322,0.9524564184000001,84.0,63.0,0,0,0,1,0,0,0,0,0,0
43,1.0,582110.0,12669.0,522300.0,13,0.667,0.762,14253.0,24286.0,58.69,0.9650655022,0.9620991254000001,89.0,72.0,0,0,0,0,0,1,0,0,0,0
44,1.0,650000.0,125000.0,7000000.0,16,0.641,0.375,72584.0,75005.0,96.77,0.9593984962000001,0.9663608562999999,86.0,75.0,0,0,1,0,0,0,0,0,0,0
48,1.0,1025000.0,375000.0,1912500.0,4,0.5,0.0,51466.0,60168.0,85.54,0.9841772152,0.9632,84.0,64.0,0,0,0,0,0,0,0,0,1,0
49,1.0,950000.0,102001.06976744186,25416667.0,5,0.534,0.5,89034.0,87091.0,102.23,0.9835082459000001,0.9755725191,88.0,66.0,0,0,1,0,0,0,0,0,0,0
54,1.0,580000.0,130000.0,4425000.0,5,0.5,0.0,23355.0,30850.0,75.71,0.9706362153,0.9653465347,81.0,62.0,0,0,0,1,0,0,0,0,0,0
55,1.0,205000.0,42500.0,1822918.0,9,0.598,0.0,10404.0,23595.0,44.09,0.9714285714,0.9604261796,84.0,65.0,0,0,0,0,0,1,0,0,0,0
58,1.0,700000.0,180000.0,20833333.0,4,0.849,0.0,86735.0,83489.0,103.89,0.9622641509000001,0.9448051948,70.0,54.0,0,1,0,0,0,0,0,0,0,0
59,1.0,900000.0,62500.0,16250000.0,16,0.672,0.778,53542.0,56790.0,94.28,0.9213973798999999,0.9276218612,68.0,50.0,0,1,0,0,0,0,0,0,0,0
60,1.0,504895.0,102001.06976744186,1200000.0,11,0.579,0.6,19633.0,20118.0,97.59,0.9670932358,0.9250457038,63.0,41.0,0,0,0,1,0,0,0,0,0,0
63,1.0,725093.5116279069,102001.06976744186,6734453.263565891,6,0.553,0.0,41696.0,68400.0,60.96,0.9658385093,0.9370078740000001,86.0,56.0,1,0,0,0,0,0,0,0,0,0
65,1.0,725093.5116279069,102001.06976744186,6734453.263565891,3,0.233,0.0,20172.0,47000.0,42.92,0.9693877551000001,0.966226138,88.0,86.0,0,0,0,1,0,0,0,0,0,0
76,1.0,725093.5116279069,102001.06976744186,6734453.263565891,10,0.714,0.5,37842.0,50000.0,75.68,0.9838235294,0.975975976,90.0,86.0,0,0,0,0,0,0,0,1,0,0
78,1.0,1350000.0,102001.06976744186,68125000.0,11,0.768,1.0,99844.0,102733.0,97.19,0.9659763314,0.9649390244,73.0,55.0,0,0,0,0,0,0,0,0,1,0
80,1.0,70833.0,102001.06976744186,773958.0,6,0.432,0.0,13115.0,30000.0,43.72,0.9431643625,0.9553158706,71.0,61.0,0,0,0,0,0,0,0,0,0,1
81,1.0,1500000.0,25000.0,4231250.0,6,0.467,0.0,56034.0,60454.0,92.69,0.9185867896,0.9349845201000001,73.0,52.0,0,1,0,0,0,0,0,0,0,0
82,1.0,741665.0,102001.06976744186,2991667.0,9,0.347,0.0,14155.0,52000.0,27.22,0.9409984870999999,0.9527439024,83.0,63.0,0,0,0,1,0,0,0,0,0,0
84,1.0,585000.0,210000.0,3558333.0,6,0.644,0.0,21352.0,26244.0,81.36,0.9691176470999999,0.9626307922,86.0,75.0,0,0,0,0,0,1,0,0,0,0
91,1.0,725000.0,75000.0,4900000.0,19,0.596,0.5,30091.0,32740.0,91.91,0.9486404834000001,0.9447852761,82.0,59.0,0,0,0,0,0,0,0,1,0,0
77,1.0,725093.5116279069,102001.06976744186,6734453.263565891,9,0.54,0.5,37043.0,49262.0,75.2,0.9637223975,0.9650793651,88.0,78.0,1,0,0,0,0,0,0,0,0,0
